,Dataset,General score,High bin lower bound,High bin pair count,High bin score,High bin upper bound,Low bin lower bound,Low bin pair count,Low bin score,Low bin upper bound,Method,Mid bin lower bound,Mid bin upper bound,Middle bin pair count,Middle bin score,Mixed bin pair count,Mixed bin score,Time,Window,Word count
0,MEN,0.1637102577516426,26,418,0.5456317701416152,1418,0,449,-0.09573617821762007,4,SG,4,26,267,0.19285403109170704,1866,0.15274816816230474,2019-05-26 19:17:44.343,10,1000000
1,MTurk,0.054248062483532096,29,41,0.4862133595551198,580,0,35,0.1377447044874652,5,SG,5,29,31,0.07239362921944276,180,-0.0550292903759992,2019-05-26 19:17:45.197,10,1000000
2,RG65,0.1822753984641955,19,7,0.28571428571428575,165,0,6,,2,SG,2,19,9,-0.049999999999999996,43,0.20950803353728212,2019-05-26 19:17:45.987,10,1000000
3,RW,0.20373121475902708,5,230,0.2679870644749828,925,0,158,,0,SG,0,5,187,-0.08598066085745659,1459,0.192395309394869,2019-05-26 19:17:47.037,10,1000000
4,SimLex-999,0.12306111588327148,32,173,0.08535670273016946,788,0,100,-0.05965298316943624,8,SG,8,31,101,0.13873664030585045,625,0.10072362577006047,2019-05-26 19:17:47.937,10,1000000
5,TR9856,0.10987351574093338,0,1451,0.2820516847305608,629,0,951,,0,SG,0,0,1015,,6439,0.0807533438037657,2019-05-26 19:17:49.997,10,1000000
6,WS353,0.40109391936294364,58,26,0.4808481813352885,1046,0,29,0.25681373247635964,14,SG,14,54,23,0.22749763848785717,125,0.3560690557531031,2019-05-26 19:17:50.757,10,1000000
7,MEN,0.43478088345766,122,382,0.6834096118752075,7417,0,401,0.23497096053361807,24,SG,24,121,331,0.6175859034324261,1886,0.4640899474946029,2019-05-26 19:24:50.729,10,5000000
8,MTurk,0.30706096999028337,143,47,0.7242186849640131,2821,0,36,0.3925446014352986,28,SG,28,139,32,0.45485380764770034,172,0.2406890384719849,2019-05-26 19:24:54.284,10,5000000
9,RG65,0.4051579077879913,85,6,0.6571428571428573,767,0,6,0.6,11,SG,11,83,11,0.690909090909091,42,0.30966279189517965,2019-05-26 19:24:57.874,10,5000000
10,RW,0.2614360020758817,25,221,0.3857444091601106,4521,0,150,,1,SG,1,25,193,0.09123081752508139,1470,0.2506471838093093,2019-05-26 19:25:01.689,10,5000000
11,SimLex-999,0.24107014241598804,158,183,0.1980544388129346,4139,0,97,0.10991807286187302,39,SG,39,157,102,0.14674338790667468,617,0.30161994690879834,2019-05-26 19:25:05.299,10,5000000
12,TR9856,0.11055800674453216,0,1480,0.41979693086337067,3315,0,906,,0,SG,0,0,1049,,6421,0.04129002373473251,2019-05-26 19:25:10.199,10,5000000
13,WS353,0.6233873736753113,304,31,0.5926598224956608,3811,0,34,0.49682892724352096,82,SG,83,302,22,0.6851172258516363,116,0.6119032894931407,2019-05-26 19:25:13.709,10,5000000
14,MEN,0.5193669818176899,261,405,0.7315093960035227,14878,0,454,0.2910534934399805,46,SG,47,259,295,0.6899554541506365,1846,0.5694393476230567,2019-05-26 19:37:16.183,10,10000000
15,MTurk,0.3520611411940491,287,44,0.6391091412534579,5710,0,35,0.35669174956763744,53,SG,53,282,34,0.33338432120494715,174,0.364229208766355,2019-05-26 19:37:21.996,10,10000000
16,RG65,0.40447596659427637,198,7,0.6785714285714287,1339,1,7,0.1785714285714286,24,SG,26,196,13,0.3516483516483516,38,0.4569333588725235,2019-05-26 19:37:27.187,10,10000000
17,RW,0.2783686556279323,53,215,0.5158290157932732,9411,0,148,,2,SG,2,53,195,0.09343570478008326,1476,0.2530635667665255,2019-05-26 19:37:33.191,10,10000000
18,SimLex-999,0.2776070398803758,328,184,0.1718064836182798,7818,0,95,0.15977826480439922,84,SG,84,324,100,0.18518418538977643,620,0.3387806685248145,2019-05-26 19:37:39.108,10,10000000
19,TR9856,0.12353381154937328,0,1495,0.47735028194005563,6252,0,883,,0,SG,0,0,1053,,6425,0.04486900085804293,2019-05-26 19:37:45.469,10,10000000
20,WS353,0.6736650595447267,622,27,0.5983819333950599,8248,1,36,0.550527810946913,184,SG,184,590,24,0.706086956521739,116,0.6976225642588014,2019-05-26 19:37:50.298,10,10000000
21,MEN,0.6538577806421605,1302,423,0.7279954675286634,53987,0,425,0.4620568461947052,260,SG,271,1297,290,0.6911238040347587,1862,0.6814180615848786,2019-05-26 20:07:06.206,10,50000000
22,MTurk,0.5807918543791111,1305,43,0.6457216388075487,46832,0,39,0.5577736517022707,270,SG,275,1304,34,0.30121495404398024,171,0.5436007821784319,2019-05-26 20:07:31.716,10,50000000
23,RG65,0.6398356512678466,903,5,0.7,6144,6,7,0.8571428571428573,133,SG,146,871,12,0.4685314685314686,41,0.6012371584564734,2019-05-26 20:08:00.321,10,50000000
24,RW,0.24109352740292384,226,225,0.5179789724270137,54588,0,149,0.08489008112256075,10,SG,10,226,194,0.3094571897093554,1466,0.20074916520430483,2019-05-26 20:08:29.737,10,50000000
25,SimLex-999,0.29640272845183285,1516,184,0.19483359726399033,47449,1,93,0.10312001084653614,394,SG,395,1508,116,0.11340194305827599,606,0.37713822828394344,2019-05-26 20:08:59.977,10,50000000
26,TR9856,0.08417070985310877,0,1440,0.44903646978381284,47449,0,879,,0,SG,0,0,1084,,6453,0.02072853190314767,2019-05-26 20:09:30.151,10,50000000
27,WS353,0.7159323866960937,2921,30,0.5453938719804688,46755,6,35,0.5418125841080506,808,SG,820,2844,23,0.7895256916996048,115,0.7369887189682831,2019-05-26 20:09:55.460,10,50000000
